NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2015],
Timbaúba,2615300,timbaubense,ULISSES FELINTO FILHO,292.985,50956,184.63,97.7,0.618,11.11,112344,105483,11189.59,
Toritama,2615409,toritamense,EDILSON TAVARES DE LIMA,25.704,44254,1383.21,91.5,0.618,18.84,83084,76624,13557.60,
Tracunhaém,2615508,tracunhaense,BELARMINO VASQUEZ MENDEZ NETO,135.496,13724,110.27,97,0.605,28.85,30182,27118,7779.66,
Trindade,2615607,trindadense,ANTONIO EVERTON SOARES COSTA,295.765,30222,113.77,97.9,0.595,5.02,70902,71749,9594.46,
Triunfo,2615706,triunfense,JOAO BATISTA RODRIGUES DOS SANTOS,191.518,15265,78.35,98.4,0.670,10.53,40748,42442,7206.87,
Tupanatinga,2615805,tupanatinguense,SEVERINO SOARES DOS SANTOS,950.474,27052,25.70,96,0.519,16.23,58319,54689,5680.27,
Tuparetama,2615904,tuparetamense,DOMINGOS S�VIO DA COSTA TORRES,178.570,8192,44.38,98.6,0.634,8.4,24446,23865,7928.04,
Venturosa,2616001,venturosense,EUDES TENORIO CAVALCANTI,335.482,18298,50.05,97.5,0.592,7.55,44512,40870,7976.55,
Verdejante,2616100,verdejantense,HAROLDO SILVA TAVARES,476.039,9514,19.20,95,0.605,27.21,26579,31720,6209.42,
Vertente do Lério,2616183,vertentense do l�rio,RENATO LIMA DE SALES,73.631,7666,106.93,96.7,0.563,28.04,24038,22271,7896.24,
Vertentes,2616209,vertentense,ROMERO LEAL FERREIRA,196.325,20503,92.82,94.1,0.582,7.69,51439,38326,8060.14,
Vicência,2616308,vicenciense,GUILHERME DE ALBUQUERQUE MELO NUNES,228.017,32513,134.78,95.6,0.605,4.99,80651,67622,10344.33,
Vitória de Santo Antão,2616407,vitoriense,JOS� AGLAILSON QUERALVARES J�NIOR,335.941,137915,348.80,96.9,0.640,8.12,299854,243670,22626.10,
Xexéu,2616506,xexeuense,EUDO DE MAGALHAES LYRA,110.815,14691,127.18,95,0.552,16.78,40117,38370,7050.31,
